title,publication_date,year,language,type,platform,local_url,original_url
Doctoral Dissertation by TAKAHARA Taichi　（１）,2022-09-15T09:54:54+09:00,2022,en,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12764403151.html,https://ameblo.jp/2021fukuoka-ameba/entry-12764403151.html
『毎日新聞』記者が見た砂川と内灘,2022-09-15T23:53:35+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12764527972.html,https://ameblo.jp/2021fukuoka-ameba/entry-12764527972.html
2022 集会は10月９日(日) This Year&#39;s Assembly on Oct.9,2022-09-09T11:01:02+09:00,2022,ja-en,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12762540466.html,https://ameblo.jp/2021fukuoka-ameba/entry-12762540466.html
砂川の草むらに忘れ物（？）,2022-08-31T17:58:10+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12761764558.html,https://ameblo.jp/2021fukuoka-ameba/entry-12761764558.html
リンク集　（2022年８月現在）,2022-08-26T17:34:52+09:00,2022,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12760882413.html,https://ameblo.jp/2021fukuoka-ameba/entry-12760882413.html
宮岡政雄「私の履歴書」台湾編（後半）,2022-08-23T13:39:18+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12759613518.html,https://ameblo.jp/2021fukuoka-ameba/entry-12759613518.html
宮岡政雄「私の履歴書」台湾編（前半）,2022-08-18T10:20:41+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12759340258.html,https://ameblo.jp/2021fukuoka-ameba/entry-12759340258.html
土屋源太郎「戦争の時代」を語る,2022-08-15T12:00:00+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12758913142.html,https://ameblo.jp/2021fukuoka-ameba/entry-12758913142.html
Historical Exhibition of Sunagawa,2022-08-13T13:18:20+09:00,2022,en,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12758575330.html,https://ameblo.jp/2021fukuoka-ameba/entry-12758575330.html
『米軍立川基地拡張反対運動の再検討』第一章,2022-08-10T00:02:42+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12757971165.html,https://ameblo.jp/2021fukuoka-ameba/entry-12757971165.html
Summer in Sunagawa 砂川の夏,2022-08-10T00:30:12+09:00,2022,ja-en,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12757974008.html,https://ameblo.jp/2021fukuoka-ameba/entry-12757974008.html
Anti-Base Movements in Military City,2022-08-02T00:02:16+09:00,2022,en,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12756400904.html,https://ameblo.jp/2021fukuoka-ameba/entry-12756400904.html
リンク集　（2022年7月現在）,2022-07-29T11:36:26+09:00,2022,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12755869410.html,https://ameblo.jp/2021fukuoka-ameba/entry-12755869410.html
高原太一『米軍立川基地拡張反対運動の再検討』,2022-07-26T00:18:47+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12755173234.html,https://ameblo.jp/2021fukuoka-ameba/entry-12755173234.html
砂川学習館 歴史資料展示 問題,2022-07-18T17:27:02+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12754056389.html,https://ameblo.jp/2021fukuoka-ameba/entry-12754056389.html
自衛隊強行移駐から50年――基地の町の市民運動,2022-07-10T08:53:27+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12752228858.html,https://ameblo.jp/2021fukuoka-ameba/entry-12752228858.html
中文　砂川年表 &lt;繁体字/简体字&gt;,2022-07-06T17:28:37+09:00,2022,zh,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12752077386.html,https://ameblo.jp/2021fukuoka-ameba/entry-12752077386.html
"October 11, 2015　砂川闘争60周年現地集会",2022-06-26T08:00:00+09:00,2022,ja-en,gathering,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12750164975.html,https://ameblo.jp/2021fukuoka-ameba/entry-12750164975.html
中文摘要 2 &lt;繁体字/简体字&gt;,2022-06-23T17:16:03+09:00,2022,zh,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12749827305.html,https://ameblo.jp/2021fukuoka-ameba/entry-12749827305.html
アダム・トンプキンスが見出した「砂川闘争」の記憶の場,2022-06-20T09:00:00+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12749141098.html,https://ameblo.jp/2021fukuoka-ameba/entry-12749141098.html
中文摘要 1 &lt;繁体字/简体字&gt;,2022-06-17T20:10:08+09:00,2022,zh,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12748805881.html,https://ameblo.jp/2021fukuoka-ameba/entry-12748805881.html
What Happened Thereafter (2),2022-06-14T23:00:00+09:00,2022,en,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12748247996.html,https://ameblo.jp/2021fukuoka-ameba/entry-12748247996.html
リンク集　（2022年6月現在）,2022-06-08T11:23:23+09:00,2022,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12747134883.html,https://ameblo.jp/2021fukuoka-ameba/entry-12747134883.html
新井章弁護士　インタビュー（2020年10月）,2022-06-02T09:00:00+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12745889284.html,https://ameblo.jp/2021fukuoka-ameba/entry-12745889284.html
アメリカ人研究者がJapan Timesに書いた「砂川闘争」,2022-05-30T22:10:34+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12745619818.html,https://ameblo.jp/2021fukuoka-ameba/entry-12745619818.html
What Happened Thereafter (1),2022-05-26T12:57:20+09:00,2022,en,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12744545726.html,https://ameblo.jp/2021fukuoka-ameba/entry-12744545726.html
ドイツのジャーナリストが視た砂川,2022-05-23T11:19:49+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12744280864.html,https://ameblo.jp/2021fukuoka-ameba/entry-12744280864.html
リンク集（2022年5月現在）,2022-05-19T09:51:55+09:00,2022,ja,links,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12743398588.html,https://ameblo.jp/2021fukuoka-ameba/entry-12743398588.html
砂川平和しみんゼミ2021～,2022-05-16T20:36:39+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12743139492.html,https://ameblo.jp/2021fukuoka-ameba/entry-12743139492.html
砂川平和しみんゼミナール（平和しみんゼミ）,2022-05-12T09:00:00+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12741836609.html,https://ameblo.jp/2021fukuoka-ameba/entry-12741836609.html
About Our Activities,2022-05-09T11:24:55+09:00,2022,en,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12741815180.html,https://ameblo.jp/2021fukuoka-ameba/entry-12741815180.html
裁判闘争　その後　(2),2022-05-05T22:45:58+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12741190382.html,https://ameblo.jp/2021fukuoka-ameba/entry-12741190382.html
裁判闘争　その後　(1),2022-04-27T00:08:45+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12739358352.html,https://ameblo.jp/2021fukuoka-ameba/entry-12739358352.html
これまでの年間イベント,2022-04-19T14:15:19+09:00,2022,ja,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12737973292.html,https://ameblo.jp/2021fukuoka-ameba/entry-12737973292.html
「砂川平和ひろば」の活動概要,2022-04-11T13:32:23+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12736845346.html,https://ameblo.jp/2021fukuoka-ameba/entry-12736845346.html
砂川の春　Spring in Sunagawa,2022-04-03T12:32:51+09:00,2022,ja-en,record,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12735390003.html,https://ameblo.jp/2021fukuoka-ameba/entry-12735390003.html
砂川年表（1609～1977）,2022-03-31T10:00:00+09:00,2022,ja,guide,Ameblo,https://sunagawa-heiwa-archive.github.io/articles/ameblo-12734757176.html,https://ameblo.jp/2021fukuoka-ameba/entry-12734757176.html
